video_name,piece_no,event_time_sec,event_type
v01.mp4,1,18.000,NORMAL_PIECE
v01.mp4,2,51.000,NORMAL_PIECE
v01.mp4,3,84.000,NORMAL_PIECE
v01.mp4,4,112.500,NORMAL_PIECE
v01.mp4,5,143.000,NORMAL_PIECE
v01.mp4,6,173.000,NORMAL_PIECE
v01.mp4,7,206.000,NORMAL_PIECE
v01.mp4,8,239.000,NORMAL_PIECE
v02.mp4,1,15.211,NORMAL_PIECE
v02.mp4,2,32.157,NORMAL_PIECE
v02.mp4,3,46.534,NORMAL_PIECE
v02.mp4,4,62.646,NORMAL_PIECE
v02.mp4,5,77.957,NORMAL_PIECE
v02.mp4,6,93.235,NORMAL_PIECE
v02.mp4,7,110.347,NORMAL_PIECE
v02.mp4,8,122.656,NORMAL_PIECE
v03.mp4,1,23.584,NORMAL_PIECE
v03.mp4,2,41.530,NORMAL_PIECE
v03.mp4,3,56.474,NORMAL_PIECE
v03.mp4,4,69.717,NORMAL_PIECE
v03.mp4,5,84.328,NORMAL_PIECE
v03.mp4,6,99.039,NORMAL_PIECE
v03.mp4,7,113.082,NORMAL_PIECE
v03.mp4,8,127.526,NORMAL_PIECE
v03.mp4,9,142.270,NORMAL_PIECE
v03.mp4,10,155.546,NORMAL_PIECE
v04.mp4,1,25.000,NORMAL_PIECE
v04.mp4,2,68.000,NORMAL_PIECE
v04.mp4,3,117.000,NORMAL_PIECE
v04.mp4,4,161.000,NORMAL_PIECE
v04.mp4,5,218.000,NORMAL_PIECE
v05.mp4,1,15.244,NORMAL_PIECE
v05.mp4,2,29.855,NORMAL_PIECE
v05.mp4,3,44.232,NORMAL_PIECE
v05.mp4,4,56.975,NORMAL_PIECE
v05.mp4,5,72.186,NORMAL_PIECE
v05.mp4,6,88.665,NORMAL_PIECE
v05.mp4,7,104.376,NORMAL_PIECE
v05.mp4,8,120.054,NORMAL_PIECE
v05.mp4,9,135.332,NORMAL_PIECE
v05.mp4,10,149.242,NORMAL_PIECE
v06.mp4,1,32.691,NORMAL_PIECE
v06.mp4,2,67.649,NORMAL_PIECE
v06.mp4,3,100.674,NORMAL_PIECE
v06.mp4,4,135.532,NORMAL_PIECE
v06.mp4,5,174.528,NORMAL_PIECE
v07.mp4,1,22.500,NORMAL_PIECE
v07.mp4,2,55.000,NORMAL_PIECE
v07.mp4,3,88.000,NORMAL_PIECE
v08.mp4,1,14.110,NORMAL_PIECE
v08.mp4,2,27.920,NORMAL_PIECE
v08.mp4,3,40.996,NORMAL_PIECE
v08.mp4,4,57.976,NORMAL_PIECE
v08.mp4,5,72.419,NORMAL_PIECE
v08.mp4,6,86.396,NORMAL_PIECE
v08.mp4,7,101.974,NORMAL_PIECE
v08.mp4,8,116.418,NORMAL_PIECE
v08.mp4,9,133.497,NORMAL_PIECE
v08.mp4,10,148.742,NORMAL_PIECE
v08.mp4,11,166.688,NORMAL_PIECE
v08.mp4,12,181.065,NORMAL_PIECE
v09.mp4,1,14.577,NORMAL_PIECE
v09.mp4,2,31.255,NORMAL_PIECE
v09.mp4,3,45.531,NORMAL_PIECE
v09.mp4,4,60.341,NORMAL_PIECE
v09.mp4,5,75.184,NORMAL_PIECE
v09.mp4,6,92.296,NORMAL_PIECE
v09.mp4,7,108.707,NORMAL_PIECE
v09.mp4,8,123.417,NORMAL_PIECE
v09.mp4,9,137.760,NORMAL_PIECE
v09.mp4,10,154.272,NORMAL_PIECE
v09.mp4,11,169.715,NORMAL_PIECE
v10.mp4,1,79.500,NORMAL_PIECE
v10.mp4,2,111.500,NORMAL_PIECE
v10.mp4,3,145.000,NORMAL_PIECE
v10.mp4,4,178.000,NORMAL_PIECE
v11.mp4,1,38.690,NORMAL_PIECE
v11.mp4,2,67.980,NORMAL_PIECE
v11.mp4,3,100.750,NORMAL_PIECE
v11.mp4,4,129.740,NORMAL_PIECE
v11.mp4,5,173.290,NORMAL_PIECE
v12.mp4,1,18.013,NORMAL_PIECE
v12.mp4,2,33.424,NORMAL_PIECE
v12.mp4,3,48.836,NORMAL_PIECE
v12.mp4,4,65.214,NORMAL_PIECE
v12.mp4,5,80.192,NORMAL_PIECE
v12.mp4,6,97.771,NORMAL_PIECE
v12.mp4,7,113.583,NORMAL_PIECE
v12.mp4,8,130.195,NORMAL_PIECE
v13.mp4,1,28.489,NORMAL_PIECE
v13.mp4,2,65.985,NORMAL_PIECE
v13.mp4,3,103.547,NORMAL_PIECE
v13.mp4,4,139.642,NORMAL_PIECE
v13.mp4,5,176.370,NORMAL_PIECE
v14.mp4,1,29.500,NORMAL_PIECE
v14.mp4,2,60.500,NORMAL_PIECE
v14.mp4,3,90.000,NORMAL_PIECE
v14.mp4,4,119.500,NORMAL_PIECE
v14.mp4,5,154.000,NORMAL_PIECE
v15.mp4,1,13.043,NORMAL_PIECE
v15.mp4,2,29.088,NORMAL_PIECE
v15.mp4,3,42.931,NORMAL_PIECE
v15.mp4,4,57.709,NORMAL_PIECE
v15.mp4,5,71.619,NORMAL_PIECE
v15.mp4,6,85.162,NORMAL_PIECE
v15.mp4,7,98.639,NORMAL_PIECE
v15.mp4,8,112.349,NORMAL_PIECE
v15.mp4,9,126.793,NORMAL_PIECE
v15.mp4,10,140.836,NORMAL_PIECE
v15.mp4,11,155.614,NORMAL_PIECE
v16.mp4,1,19.500,NORMAL_PIECE
v16.mp4,2,62.000,NORMAL_PIECE
v16.mp4,3,92.000,NORMAL_PIECE
v16.mp4,4,124.000,NORMAL_PIECE
v16.mp4,5,152.000,NORMAL_PIECE
v16.mp4,6,184.000,NORMAL_PIECE
v17.mp4,1,43.799,NORMAL_PIECE
v17.mp4,2,81.693,NORMAL_PIECE
v17.mp4,3,120.755,NORMAL_PIECE
v17.mp4,4,160.417,NORMAL_PIECE
v17.mp4,5,199.712,NORMAL_PIECE
v17.mp4,6,234.037,NORMAL_PIECE
v17.mp4,7,267.094,NORMAL_PIECE
v18.mp4,1,30.823,NORMAL_PIECE
v18.mp4,2,63.346,NORMAL_PIECE
v18.mp4,3,101.808,NORMAL_PIECE
v18.mp4,4,139.635,NORMAL_PIECE
v18.mp4,5,174.928,NORMAL_PIECE
v18.mp4,6,212.122,NORMAL_PIECE
v18.mp4,7,246.413,NORMAL_PIECE
v19.mp4,1,31.725,NORMAL_PIECE
v19.mp4,2,65.852,NORMAL_PIECE
v19.mp4,3,99.512,NORMAL_PIECE
v19.mp4,4,133.639,NORMAL_PIECE
v19.mp4,5,169.434,NORMAL_PIECE
v20.mp4,1,17.179,NORMAL_PIECE
v20.mp4,2,33.691,NORMAL_PIECE
v20.mp4,3,51.171,NORMAL_PIECE
v20.mp4,4,69.351,NORMAL_PIECE
v20.mp4,5,85.062,NORMAL_PIECE
v20.mp4,6,101.374,NORMAL_PIECE
v20.mp4,7,116.318,NORMAL_PIECE
v20.mp4,8,130.929,NORMAL_PIECE
v20.mp4,9,148.108,NORMAL_PIECE
v20.mp4,10,166.021,NORMAL_PIECE
v20.mp4,11,184.101,NORMAL_PIECE
v20.mp4,12,210.153,NORMAL_PIECE
v21.mp4,1,27.500,NORMAL_PIECE
v21.mp4,2,61.500,NORMAL_PIECE
v21.mp4,3,93.000,NORMAL_PIECE
v21.mp4,4,126.500,NORMAL_PIECE
v21.mp4,5,157.500,NORMAL_PIECE
v21.mp4,6,186.500,NORMAL_PIECE
v22.mp4,1,30.000,NORMAL_PIECE
v22.mp4,2,74.000,NORMAL_PIECE
v22.mp4,3,104.500,NORMAL_PIECE
v22.mp4,4,136.500,NORMAL_PIECE
v22.mp4,5,169.000,NORMAL_PIECE
v23.mp4,1,43.131,NORMAL_PIECE
v23.mp4,2,79.224,NORMAL_PIECE
v24.mp4,1,26.000,NORMAL_PIECE
v24.mp4,2,55.500,NORMAL_PIECE
v24.mp4,3,84.000,NORMAL_PIECE
v24.mp4,4,114.500,NORMAL_PIECE
v24.mp4,5,143.000,NORMAL_PIECE
v24.mp4,6,171.000,NORMAL_PIECE
v25.mp4,1,37.000,NORMAL_PIECE
v25.mp4,2,68.000,NORMAL_PIECE
v26.mp4,1,17.146,NORMAL_PIECE
v26.mp4,2,33.691,NORMAL_PIECE
v26.mp4,3,48.802,NORMAL_PIECE
v26.mp4,4,64.880,NORMAL_PIECE
v26.mp4,5,81.192,NORMAL_PIECE
v26.mp4,6,98.271,NORMAL_PIECE
v27.mp4,1,42.531,NORMAL_PIECE
v28.mp4,1,18.000,NORMAL_PIECE
v28.mp4,2,51.000,NORMAL_PIECE
v28.mp4,3,84.000,NORMAL_PIECE
v28.mp4,4,112.500,NORMAL_PIECE
v28.mp4,5,143.000,NORMAL_PIECE
v28.mp4,6,173.000,NORMAL_PIECE
v28.mp4,7,206.000,NORMAL_PIECE
v28.mp4,8,239.000,NORMAL_PIECE
v29.mp4,1,19.047,NORMAL_PIECE
v29.mp4,2,79.224,NORMAL_PIECE
v29.mp4,3,95.169,NORMAL_PIECE
v29.mp4,4,112.749,NORMAL_PIECE
v29.mp4,5,128.427,NORMAL_PIECE
v29.mp4,6,143.138,NORMAL_PIECE
v29.mp4,7,158.115,NORMAL_PIECE
v29.mp4,8,173.493,NORMAL_PIECE
v29.mp4,9,188.404,NORMAL_PIECE
v29.mp4,10,204.382,NORMAL_PIECE
v29.mp4,11,222.729,NORMAL_PIECE
v29.mp4,12,239.575,NORMAL_PIECE
v30.mp4,1,27.655,NORMAL_PIECE
v30.mp4,2,62.849,NORMAL_PIECE
v30.mp4,3,120.426,NORMAL_PIECE
v30.mp4,4,158.256,NORMAL_PIECE
v30.mp4,5,196.852,NORMAL_PIECE
v30.mp4,6,236.883,NORMAL_PIECE
v31.mp4,1,32.524,NORMAL_PIECE
v31.mp4,2,70.185,NORMAL_PIECE
v31.mp4,3,105.877,NORMAL_PIECE
v31.mp4,4,140.236,NORMAL_PIECE
v31.mp4,5,174.394,NORMAL_PIECE
v31.mp4,6,208.285,NORMAL_PIECE
v32.mp4,1,14.644,NORMAL_PIECE
v32.mp4,2,29.388,NORMAL_PIECE
v32.mp4,3,44.199,NORMAL_PIECE
v32.mp4,4,59.243,NORMAL_PIECE
v32.mp4,5,74.288,NORMAL_PIECE
v32.mp4,6,88.098,NORMAL_PIECE
v32.mp4,7,104.977,NORMAL_PIECE
v32.mp4,8,122.456,NORMAL_PIECE
v32.mp4,9,136.066,NORMAL_PIECE
v32.mp4,10,154.380,NORMAL_PIECE
v32.mp4,11,169.024,NORMAL_PIECE
v32.mp4,12,184.535,NORMAL_PIECE
v33.mp4,1,17.078,NORMAL_PIECE
v33.mp4,2,32.021,NORMAL_PIECE
v33.mp4,3,46.264,NORMAL_PIECE
v33.mp4,4,60.907,NORMAL_PIECE
v33.mp4,5,74.082,NORMAL_PIECE
v33.mp4,6,86.991,NORMAL_PIECE
v33.mp4,7,100.566,NORMAL_PIECE
v33.mp4,8,114.509,NORMAL_PIECE
v33.mp4,9,127.684,NORMAL_PIECE
v33.mp4,10,140.359,NORMAL_PIECE
v34.mp4,1,24.000,NORMAL_PIECE
v34.mp4,2,55.000,NORMAL_PIECE
v34.mp4,3,86.000,NORMAL_PIECE
v34.mp4,4,120.000,NORMAL_PIECE
v34.mp4,5,148.000,NORMAL_PIECE
v34.mp4,6,180.000,NORMAL_PIECE
v35.mp4,1,16.000,NORMAL_PIECE
v35.mp4,2,46.000,NORMAL_PIECE
v35.mp4,3,78.500,NORMAL_PIECE
v35.mp4,4,108.500,NORMAL_PIECE
v35.mp4,5,142.000,NORMAL_PIECE
v35.mp4,6,173.500,NORMAL_PIECE
v36.mp4,1,16.946,NORMAL_PIECE
v36.mp4,2,30.822,NORMAL_PIECE
v36.mp4,3,43.532,NORMAL_PIECE
v36.mp4,4,57.842,NORMAL_PIECE
v36.mp4,5,71.986,NORMAL_PIECE
v36.mp4,6,84.495,NORMAL_PIECE
v36.mp4,7,96.437,NORMAL_PIECE
v36.mp4,8,116.351,NORMAL_PIECE
v36.mp4,9,130.495,NORMAL_PIECE
v37.mp4,1,25.500,NORMAL_PIECE
v37.mp4,2,57.000,NORMAL_PIECE
v37.mp4,3,93.000,NORMAL_PIECE
v37.mp4,4,123.000,NORMAL_PIECE
v38.mp4,1,26.119,NORMAL_PIECE
v38.mp4,2,41.664,NORMAL_PIECE
v38.mp4,3,63.313,NORMAL_PIECE
v38.mp4,4,77.523,NORMAL_PIECE
v38.mp4,5,93.501,NORMAL_PIECE
v38.mp4,6,109.146,NORMAL_PIECE
v38.mp4,7,125.191,NORMAL_PIECE
v38.mp4,8,139.568,NORMAL_PIECE
v38.mp4,9,155.547,NORMAL_PIECE
v38.mp4,10,171.258,NORMAL_PIECE
v38.mp4,11,186.503,NORMAL_PIECE
v38.mp4,12,203.215,NORMAL_PIECE
v38.mp4,13,219.894,NORMAL_PIECE
v38.mp4,14,233.937,NORMAL_PIECE
v39.mp4,1,28.689,NORMAL_PIECE
v39.mp4,2,61.414,NORMAL_PIECE
v39.mp4,3,94.506,NORMAL_PIECE
v39.mp4,4,125.830,NORMAL_PIECE
v39.mp4,5,160.424,NORMAL_PIECE
v39.mp4,6,197.819,NORMAL_PIECE
v39.mp4,7,235.848,NORMAL_PIECE
v39.mp4,8,265.571,NORMAL_PIECE
v40.mp4,1,13.909,NORMAL_PIECE
v40.mp4,2,26.818,NORMAL_PIECE
v40.mp4,3,41.661,NORMAL_PIECE
v40.mp4,4,55.270,NORMAL_PIECE
v40.mp4,5,69.246,NORMAL_PIECE
v40.mp4,6,82.087,NORMAL_PIECE
v40.mp4,7,94.229,NORMAL_PIECE
v40.mp4,8,106.870,NORMAL_PIECE
v40.mp4,9,120.479,NORMAL_PIECE
v40.mp4,10,133.288,NORMAL_PIECE
v41.mp4,1,25.352,NORMAL_PIECE
v41.mp4,2,65.281,NORMAL_PIECE
v41.mp4,3,96.670,NORMAL_PIECE
v41.mp4,4,134.064,NORMAL_PIECE
v41.mp4,5,170.458,NORMAL_PIECE
v41.mp4,6,214.023,NORMAL_PIECE
v41.mp4,7,256.053,NORMAL_PIECE
v42.mp4,1,22.000,NORMAL_PIECE
v42.mp4,2,53.500,NORMAL_PIECE
v42.mp4,3,81.000,NORMAL_PIECE
v42.mp4,4,120.000,NORMAL_PIECE
v42.mp4,5,150.500,NORMAL_PIECE
v42.mp4,6,177.500,NORMAL_PIECE
v43.mp4,1,23.000,NORMAL_PIECE
v43.mp4,2,57.000,NORMAL_PIECE
v43.mp4,3,90.000,NORMAL_PIECE
v43.mp4,4,128.000,NORMAL_PIECE
v43.mp4,5,156.000,NORMAL_PIECE
v44.mp4,1,19.500,NORMAL_PIECE
v44.mp4,2,62.000,NORMAL_PIECE
v44.mp4,3,92.000,NORMAL_PIECE
v44.mp4,4,124.000,NORMAL_PIECE
v44.mp4,5,152.500,NORMAL_PIECE
v44.mp4,6,184.000,NORMAL_PIECE
v45.mp4,1,19.000,NORMAL_PIECE
v45.mp4,2,48.000,NORMAL_PIECE
v45.mp4,3,76.000,NORMAL_PIECE
v45.mp4,4,104.000,NORMAL_PIECE
v46.mp4,1,13.576,NORMAL_PIECE
v46.mp4,2,28.552,NORMAL_PIECE
v46.mp4,3,43.729,NORMAL_PIECE
v46.mp4,4,58.138,NORMAL_PIECE
v46.mp4,5,78.585,NORMAL_PIECE
v46.mp4,6,96.363,NORMAL_PIECE
v46.mp4,7,114.275,NORMAL_PIECE
v46.mp4,8,129.952,NORMAL_PIECE
v47.mp4,1,22.116,NORMAL_PIECE
v47.mp4,2,37.227,NORMAL_PIECE
v47.mp4,3,51.738,NORMAL_PIECE
v47.mp4,4,67.916,NORMAL_PIECE
v47.mp4,5,84.662,NORMAL_PIECE
v47.mp4,6,100.440,NORMAL_PIECE
v47.mp4,7,115.018,NORMAL_PIECE
v47.mp4,8,129.762,NORMAL_PIECE
v47.mp4,9,145.306,NORMAL_PIECE
v47.mp4,10,163.887,NORMAL_PIECE
v47.mp4,11,178.030,NORMAL_PIECE
v48.mp4,1,22.750,NORMAL_PIECE
v48.mp4,2,38.762,NORMAL_PIECE
v48.mp4,3,53.839,NORMAL_PIECE
v48.mp4,4,69.250,NORMAL_PIECE
v48.mp4,5,84.828,NORMAL_PIECE
v48.mp4,6,103.309,NORMAL_PIECE
v48.mp4,7,117.252,NORMAL_PIECE
v49.mp4,1,10.507,NORMAL_PIECE
