video_name,split,segment_count,event_count,idle_setup_duration_sec,sewing_duration_sec,total_annotated_duration_sec
v01.mp4,train,17,8,79.500,195.500,275.000
v02.mp4,train,16,8,43.732,78.924,122.656
v03.mp4,train,20,10,59.476,87.697,147.173
v04.mp4,train,11,5,78.000,166.000,244.000
v05.mp4,train,20,10,55.807,93.435,149.242
v06.mp4,train,12,5,49.236,159.683,208.919
v07.mp4,train,7,3,33.500,82.500,116.000
v08.mp4,train,24,12,68.783,112.282,181.065
v09.mp4,train,24,11,67.947,113.944,181.891
v10.mp4,test,10,4,57.000,109.000,166.000
v11.mp4,train,11,5,45.420,120.440,165.860
v12.mp4,test,16,8,40.328,87.198,127.526
v13.mp4,train,11,5,40.965,175.636,216.601
v14.mp4,train,12,5,54.500,120.500,175.000
v15.mp4,train,21,11,52.941,100.171,153.112
v16.mp4,train,13,6,57.500,154.500,212.000
v17.mp4,train,14,7,69.049,197.445,266.494
v18.mp4,test,14,7,60.576,185.837,246.413
v19.mp4,train,10,5,37.130,132.304,169.434
v20.mp4,validation,23,12,69.650,136.066,205.716
v21.mp4,train,13,6,64.500,152.500,217.000
v22.mp4,test,11,5,41.000,152.000,193.000
v23.mp4,train,4,2,15.111,64.113,79.224
v24.mp4,train,13,6,56.500,140.500,197.000
v25.mp4,validation,5,2,21.000,74.500,95.500
v26.mp4,test,12,6,32.791,65.480,98.271
v27.mp4,train,4,1,16.245,59.977,76.222
v28.mp4,train,17,8,79.500,195.500,275.000
v29.mp4,validation,24,12,90.701,146.639,237.340
v30.mp4,train,11,6,48.236,187.146,235.382
v31.mp4,validation,12,6,44.433,163.852,208.285
v32.mp4,train,24,12,75.621,108.781,184.402
v33.mp4,train,20,10,59.440,80.552,139.992
v34.mp4,train,13,6,54.000,149.000,203.000
v35.mp4,train,12,6,62.500,121.500,184.000
v36.mp4,train,19,9,61.345,72.119,133.464
v37.mp4,validation,9,4,44.500,108.500,153.000
v38.mp4,train,28,14,95.569,131.196,226.765
v39.mp4,test,16,8,67.518,198.053,265.571
v40.mp4,train,20,10,52.866,80.155,133.021
v41.mp4,train,13,7,55.406,199.546,254.952
v42.mp4,train,13,6,62.000,143.000,205.000
v43.mp4,train,10,5,53.000,112.000,165.000
v44.mp4,validation,13,6,55.500,156.500,212.000
v45.mp4,train,9,4,36.000,96.000,132.000
v46.mp4,train,16,8,40.562,89.190,129.752
v47.mp4,train,22,11,71.119,97.704,168.823
v48.mp4,train,14,7,37.860,73.521,111.381
v49.mp4,test,23,12,69.980,98.367,168.347
v50.mp4,train,10,4,54.500,111.500,166.000
v51.mp4,test,10,4,47.000,98.000,145.000
v52.mp4,train,9,4,50.000,130.000,180.000
v53.mp4,test,24,12,82.427,96.971,179.398
v54.mp4,train,18,9,58.176,70.684,128.860
v55.mp4,train,21,10,64.416,110.946,175.362
v56.mp4,validation,16,7,44.166,86.228,130.394
v57.mp4,train,15,8,39.863,85.462,125.325
v58.mp4,validation,11,5,53.500,110.500,164.000
v59.mp4,train,24,11,65.147,128.827,193.974
v60.mp4,validation,23,12,74.086,106.580,180.666
