epoch,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1,backbone_learning_rate,classifier_learning_rate,elapsed_sec
1,0.3520344819100398,0.8756206631660461,0.8755902215764129,0.2787378371211153,0.9467336535453796,0.9353183670816054,0.0001,0.0003,696.6939386249996
2,0.23971214576771385,0.9436444640159607,0.9436411504242865,0.2567982626320729,0.9507537484169006,0.9414852696022247,9.972883382072954e-05,0.0002991810233575568,971.168905167
3,0.19895543224643453,0.9647467732429504,0.9647450690335306,0.23585811386156322,0.9567838907241821,0.9478410447151646,9.891830623632339e-05,0.0002967330663097039,868.4486112090003
4,0.17902769851234723,0.976166844367981,0.9761653278894658,0.25358444104841604,0.9597989916801453,0.9521873678545343,9.757729755661011e-05,0.0002926829491861254,1114.1815062080004
5,0.16797868349582934,0.9786494374275208,0.9786481062343131,0.2020576263866832,0.9638190865516663,0.9567190581139079,9.572050015330873e-05,0.00028707504591756876,1141.180676084
6,0.16212089081565814,0.9801390171051025,0.9801370680379389,0.23180064154629731,0.9587939977645874,0.9501666811217292,9.336825748732972e-05,0.00027997079786577355,1153.3680728339996
7,0.15721137188338002,0.9836146831512451,0.9836136629240078,0.20721324788565612,0.9638190865516663,0.9567190581139079,9.05463412215599e-05,0.0002714480406590546,1185.4060195830007
8,0.14937331972138765,0.9863455891609192,0.9863453377131306,0.2829432043897447,0.9346733689308167,0.9178756229960954,8.728566886113101e-05,0.0002616001514088704,1224.9521499579987
9,0.14452806620487746,0.9905660152435303,0.9905657028065715,0.20788179498970807,0.9608040452003479,0.9527876631079478,8.362196501476347e-05,0.0002505350256506492,1162.4030884160002
10,0.1421808264076769,0.9898212552070618,0.989820723605846,0.2222594355368734,0.9567838907241821,0.9471952449185375,7.959536998847741e-05,0.00023837389521772463,1013.8283636670003
11,0.1387563505114723,0.9918073415756226,0.9918070814345559,0.22177586812320066,0.9608040452003479,0.9530665486224752,7.524999999999999e-05,0.00022524999999999992,977.1302337079997
12,0.13603720009741266,0.9935451745986938,0.9935449147651136,0.2380029056689248,0.9567838907241821,0.9474143493624212,7.06334638322521e-05,0.0002113071281398321,968.2459760830006
