split,clip_name,relative_clip_path,video_name,segment_index,clip_index_in_segment,start_time_sec,end_time_sec,duration_sec,state,source_segment_start_sec,source_segment_end_sec,status
train,v01_s0001_c001_sewing_000000000_000001500.mp4,train/sewing/v01_s0001_c001_sewing_000000000_000001500.mp4,v01.mp4,1,1,0.000,1.500,1.500,SEWING,0.000,18.000,GENERATED
train,v01_s0001_c002_sewing_000002500_000004000.mp4,train/sewing/v01_s0001_c002_sewing_000002500_000004000.mp4,v01.mp4,1,2,2.500,4.000,1.500,SEWING,0.000,18.000,GENERATED
train,v01_s0001_c003_sewing_000005000_000006500.mp4,train/sewing/v01_s0001_c003_sewing_000005000_000006500.mp4,v01.mp4,1,3,5.000,6.500,1.500,SEWING,0.000,18.000,GENERATED
train,v01_s0001_c004_sewing_000007500_000009000.mp4,train/sewing/v01_s0001_c004_sewing_000007500_000009000.mp4,v01.mp4,1,4,7.500,9.000,1.500,SEWING,0.000,18.000,GENERATED
train,v01_s0001_c005_sewing_000010000_000011500.mp4,train/sewing/v01_s0001_c005_sewing_000010000_000011500.mp4,v01.mp4,1,5,10.000,11.500,1.500,SEWING,0.000,18.000,GENERATED
train,v01_s0001_c006_sewing_000012500_000014000.mp4,train/sewing/v01_s0001_c006_sewing_000012500_000014000.mp4,v01.mp4,1,6,12.500,14.000,1.500,SEWING,0.000,18.000,GENERATED
train,v01_s0001_c007_sewing_000015000_000016500.mp4,train/sewing/v01_s0001_c007_sewing_000015000_000016500.mp4,v01.mp4,1,7,15.000,16.500,1.500,SEWING,0.000,18.000,GENERATED
train,v01_s0002_c001_idle_setup_000018000_000019500.mp4,train/idle_setup/v01_s0002_c001_idle_setup_000018000_000019500.mp4,v01.mp4,2,1,18.000,19.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c002_idle_setup_000019000_000020500.mp4,train/idle_setup/v01_s0002_c002_idle_setup_000019000_000020500.mp4,v01.mp4,2,2,19.000,20.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c003_idle_setup_000020000_000021500.mp4,train/idle_setup/v01_s0002_c003_idle_setup_000020000_000021500.mp4,v01.mp4,2,3,20.000,21.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c004_idle_setup_000021000_000022500.mp4,train/idle_setup/v01_s0002_c004_idle_setup_000021000_000022500.mp4,v01.mp4,2,4,21.000,22.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c005_idle_setup_000022000_000023500.mp4,train/idle_setup/v01_s0002_c005_idle_setup_000022000_000023500.mp4,v01.mp4,2,5,22.000,23.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c006_idle_setup_000023000_000024500.mp4,train/idle_setup/v01_s0002_c006_idle_setup_000023000_000024500.mp4,v01.mp4,2,6,23.000,24.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c007_idle_setup_000024000_000025500.mp4,train/idle_setup/v01_s0002_c007_idle_setup_000024000_000025500.mp4,v01.mp4,2,7,24.000,25.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c008_idle_setup_000025000_000026500.mp4,train/idle_setup/v01_s0002_c008_idle_setup_000025000_000026500.mp4,v01.mp4,2,8,25.000,26.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0002_c009_idle_setup_000026000_000027500.mp4,train/idle_setup/v01_s0002_c009_idle_setup_000026000_000027500.mp4,v01.mp4,2,9,26.000,27.500,1.500,IDLE_SETUP,18.000,28.000,GENERATED
train,v01_s0003_c001_sewing_000028000_000029500.mp4,train/sewing/v01_s0003_c001_sewing_000028000_000029500.mp4,v01.mp4,3,1,28.000,29.500,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c002_sewing_000030500_000032000.mp4,train/sewing/v01_s0003_c002_sewing_000030500_000032000.mp4,v01.mp4,3,2,30.500,32.000,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c003_sewing_000033000_000034500.mp4,train/sewing/v01_s0003_c003_sewing_000033000_000034500.mp4,v01.mp4,3,3,33.000,34.500,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c004_sewing_000035500_000037000.mp4,train/sewing/v01_s0003_c004_sewing_000035500_000037000.mp4,v01.mp4,3,4,35.500,37.000,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c005_sewing_000038000_000039500.mp4,train/sewing/v01_s0003_c005_sewing_000038000_000039500.mp4,v01.mp4,3,5,38.000,39.500,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c006_sewing_000040500_000042000.mp4,train/sewing/v01_s0003_c006_sewing_000040500_000042000.mp4,v01.mp4,3,6,40.500,42.000,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c007_sewing_000043000_000044500.mp4,train/sewing/v01_s0003_c007_sewing_000043000_000044500.mp4,v01.mp4,3,7,43.000,44.500,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c008_sewing_000045500_000047000.mp4,train/sewing/v01_s0003_c008_sewing_000045500_000047000.mp4,v01.mp4,3,8,45.500,47.000,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0003_c009_sewing_000048000_000049500.mp4,train/sewing/v01_s0003_c009_sewing_000048000_000049500.mp4,v01.mp4,3,9,48.000,49.500,1.500,SEWING,28.000,51.000,GENERATED
train,v01_s0004_c001_idle_setup_000051000_000052500.mp4,train/idle_setup/v01_s0004_c001_idle_setup_000051000_000052500.mp4,v01.mp4,4,1,51.000,52.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c002_idle_setup_000052000_000053500.mp4,train/idle_setup/v01_s0004_c002_idle_setup_000052000_000053500.mp4,v01.mp4,4,2,52.000,53.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c003_idle_setup_000053000_000054500.mp4,train/idle_setup/v01_s0004_c003_idle_setup_000053000_000054500.mp4,v01.mp4,4,3,53.000,54.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c004_idle_setup_000054000_000055500.mp4,train/idle_setup/v01_s0004_c004_idle_setup_000054000_000055500.mp4,v01.mp4,4,4,54.000,55.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c005_idle_setup_000055000_000056500.mp4,train/idle_setup/v01_s0004_c005_idle_setup_000055000_000056500.mp4,v01.mp4,4,5,55.000,56.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c006_idle_setup_000056000_000057500.mp4,train/idle_setup/v01_s0004_c006_idle_setup_000056000_000057500.mp4,v01.mp4,4,6,56.000,57.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c007_idle_setup_000057000_000058500.mp4,train/idle_setup/v01_s0004_c007_idle_setup_000057000_000058500.mp4,v01.mp4,4,7,57.000,58.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c008_idle_setup_000058000_000059500.mp4,train/idle_setup/v01_s0004_c008_idle_setup_000058000_000059500.mp4,v01.mp4,4,8,58.000,59.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c009_idle_setup_000059000_000060500.mp4,train/idle_setup/v01_s0004_c009_idle_setup_000059000_000060500.mp4,v01.mp4,4,9,59.000,60.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c010_idle_setup_000060000_000061500.mp4,train/idle_setup/v01_s0004_c010_idle_setup_000060000_000061500.mp4,v01.mp4,4,10,60.000,61.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0004_c011_idle_setup_000061000_000062500.mp4,train/idle_setup/v01_s0004_c011_idle_setup_000061000_000062500.mp4,v01.mp4,4,11,61.000,62.500,1.500,IDLE_SETUP,51.000,63.000,GENERATED
train,v01_s0005_c001_sewing_000063000_000064500.mp4,train/sewing/v01_s0005_c001_sewing_000063000_000064500.mp4,v01.mp4,5,1,63.000,64.500,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0005_c002_sewing_000065500_000067000.mp4,train/sewing/v01_s0005_c002_sewing_000065500_000067000.mp4,v01.mp4,5,2,65.500,67.000,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0005_c003_sewing_000068000_000069500.mp4,train/sewing/v01_s0005_c003_sewing_000068000_000069500.mp4,v01.mp4,5,3,68.000,69.500,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0005_c004_sewing_000070500_000072000.mp4,train/sewing/v01_s0005_c004_sewing_000070500_000072000.mp4,v01.mp4,5,4,70.500,72.000,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0005_c005_sewing_000073000_000074500.mp4,train/sewing/v01_s0005_c005_sewing_000073000_000074500.mp4,v01.mp4,5,5,73.000,74.500,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0005_c006_sewing_000075500_000077000.mp4,train/sewing/v01_s0005_c006_sewing_000075500_000077000.mp4,v01.mp4,5,6,75.500,77.000,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0005_c007_sewing_000078000_000079500.mp4,train/sewing/v01_s0005_c007_sewing_000078000_000079500.mp4,v01.mp4,5,7,78.000,79.500,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0005_c008_sewing_000080500_000082000.mp4,train/sewing/v01_s0005_c008_sewing_000080500_000082000.mp4,v01.mp4,5,8,80.500,82.000,1.500,SEWING,63.000,84.000,GENERATED
train,v01_s0006_c001_idle_setup_000084000_000085500.mp4,train/idle_setup/v01_s0006_c001_idle_setup_000084000_000085500.mp4,v01.mp4,6,1,84.000,85.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0006_c002_idle_setup_000085000_000086500.mp4,train/idle_setup/v01_s0006_c002_idle_setup_000085000_000086500.mp4,v01.mp4,6,2,85.000,86.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0006_c003_idle_setup_000086000_000087500.mp4,train/idle_setup/v01_s0006_c003_idle_setup_000086000_000087500.mp4,v01.mp4,6,3,86.000,87.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0006_c004_idle_setup_000087000_000088500.mp4,train/idle_setup/v01_s0006_c004_idle_setup_000087000_000088500.mp4,v01.mp4,6,4,87.000,88.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0006_c005_idle_setup_000088000_000089500.mp4,train/idle_setup/v01_s0006_c005_idle_setup_000088000_000089500.mp4,v01.mp4,6,5,88.000,89.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0006_c006_idle_setup_000089000_000090500.mp4,train/idle_setup/v01_s0006_c006_idle_setup_000089000_000090500.mp4,v01.mp4,6,6,89.000,90.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0006_c007_idle_setup_000090000_000091500.mp4,train/idle_setup/v01_s0006_c007_idle_setup_000090000_000091500.mp4,v01.mp4,6,7,90.000,91.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0006_c008_idle_setup_000091000_000092500.mp4,train/idle_setup/v01_s0006_c008_idle_setup_000091000_000092500.mp4,v01.mp4,6,8,91.000,92.500,1.500,IDLE_SETUP,84.000,93.000,GENERATED
train,v01_s0007_c001_sewing_000093000_000094500.mp4,train/sewing/v01_s0007_c001_sewing_000093000_000094500.mp4,v01.mp4,7,1,93.000,94.500,1.500,SEWING,93.000,112.500,GENERATED
