video_name,start_time_sec,end_time_sec,state,operation_type
v01.mp4,0.000,18.000,SEWING,COLLAR
v01.mp4,18.000,28.000,IDLE_SETUP,COLLAR
v01.mp4,28.000,51.000,SEWING,COLLAR
v01.mp4,51.000,63.000,IDLE_SETUP,COLLAR
v01.mp4,63.000,84.000,SEWING,COLLAR
v01.mp4,84.000,93.000,IDLE_SETUP,COLLAR
v01.mp4,93.000,112.500,SEWING,COLLAR
v01.mp4,112.500,120.000,IDLE_SETUP,COLLAR
v01.mp4,120.000,143.000,SEWING,COLLAR
v01.mp4,143.000,153.000,IDLE_SETUP,COLLAR
v01.mp4,153.000,173.000,SEWING,COLLAR
v01.mp4,173.000,183.000,IDLE_SETUP,COLLAR
v01.mp4,183.000,206.000,SEWING,COLLAR
v01.mp4,206.000,217.000,IDLE_SETUP,COLLAR
v01.mp4,217.000,239.000,SEWING,COLLAR
v01.mp4,239.000,249.000,IDLE_SETUP,COLLAR
v01.mp4,249.000,275.000,SEWING,COLLAR
v02.mp4,0.000,4.670,IDLE_SETUP,SLEEVE
v02.mp4,4.670,15.211,SEWING,SLEEVE
v02.mp4,15.211,22.316,IDLE_SETUP,SLEEVE
v02.mp4,22.316,32.157,SEWING,SLEEVE
v02.mp4,32.157,37.461,IDLE_SETUP,SLEEVE
v02.mp4,37.461,46.534,SEWING,SLEEVE
v02.mp4,46.534,52.405,IDLE_SETUP,SLEEVE
v02.mp4,52.405,62.646,SEWING,SLEEVE
v02.mp4,62.646,67.783,IDLE_SETUP,SLEEVE
v02.mp4,67.783,77.957,SEWING,SLEEVE
v02.mp4,77.957,83.094,IDLE_SETUP,SLEEVE
v02.mp4,83.094,93.235,SEWING,SLEEVE
v02.mp4,93.235,99.873,IDLE_SETUP,SLEEVE
v02.mp4,99.873,110.347,SEWING,SLEEVE
v02.mp4,110.347,114.217,IDLE_SETUP,SLEEVE
v02.mp4,114.217,122.656,SEWING,SLEEVE
v03.mp4,8.373,14.611,IDLE_SETUP,SLEEVE
v03.mp4,14.611,23.584,SEWING,SLEEVE
v03.mp4,23.584,29.121,IDLE_SETUP,SLEEVE
v03.mp4,29.121,41.530,SEWING,SLEEVE
v03.mp4,41.530,47.568,IDLE_SETUP,SLEEVE
v03.mp4,47.568,56.474,SEWING,SLEEVE
v03.mp4,56.474,61.845,IDLE_SETUP,SLEEVE
v03.mp4,61.845,69.717,SEWING,SLEEVE
v03.mp4,69.717,75.388,IDLE_SETUP,SLEEVE
v03.mp4,75.388,84.328,SEWING,SLEEVE
v03.mp4,84.328,90.599,IDLE_SETUP,SLEEVE
v03.mp4,90.599,99.039,SEWING,SLEEVE
v03.mp4,99.039,104.776,IDLE_SETUP,SLEEVE
v03.mp4,104.776,113.082,SEWING,SLEEVE
v03.mp4,113.082,119.453,IDLE_SETUP,SLEEVE
v03.mp4,119.453,127.526,SEWING,SLEEVE
v03.mp4,127.526,134.331,IDLE_SETUP,SLEEVE
v03.mp4,134.331,142.270,SEWING,SLEEVE
v03.mp4,142.270,147.707,IDLE_SETUP,SLEEVE
v03.mp4,147.707,155.546,SEWING,SLEEVE
v04.mp4,0.000,25.000,SEWING,COLLAR
v04.mp4,25.000,40.000,IDLE_SETUP,COLLAR
v04.mp4,40.000,68.000,SEWING,COLLAR
v04.mp4,68.000,83.000,IDLE_SETUP,COLLAR
v04.mp4,83.000,110.000,SEWING,COLLAR
v04.mp4,117.000,130.000,IDLE_SETUP,COLLAR
v04.mp4,130.000,161.000,SEWING,COLLAR
v04.mp4,161.000,180.000,IDLE_SETUP,COLLAR
v04.mp4,180.000,212.000,SEWING,COLLAR
v04.mp4,218.000,234.000,IDLE_SETUP,COLLAR
v04.mp4,234.000,257.000,SEWING,COLLAR
v05.mp4,0.000,2.735,IDLE_SETUP,SLEEVE
v05.mp4,2.735,15.244,SEWING,SLEEVE
v05.mp4,15.244,21.115,IDLE_SETUP,SLEEVE
v05.mp4,21.115,29.855,SEWING,SLEEVE
v05.mp4,29.855,35.893,IDLE_SETUP,SLEEVE
v05.mp4,35.893,44.232,SEWING,SLEEVE
v05.mp4,44.232,49.436,IDLE_SETUP,SLEEVE
v05.mp4,49.436,56.975,SEWING,SLEEVE
v05.mp4,56.975,61.945,IDLE_SETUP,SLEEVE
v05.mp4,61.945,72.186,SEWING,SLEEVE
v05.mp4,72.186,78.057,IDLE_SETUP,SLEEVE
v05.mp4,78.057,88.665,SEWING,SLEEVE
v05.mp4,88.665,94.969,IDLE_SETUP,SLEEVE
