video_name,operation_type
v01.mp4,COLLAR
v02.mp4,SLEEVE
v03.mp4,SLEEVE
v04.mp4,COLLAR
v05.mp4,SLEEVE
v06.mp4,POCKET
v07.mp4,COLLAR
v08.mp4,SLEEVE
v09.mp4,SLEEVE
v10.mp4,COLLAR
v11.mp4,COLLAR
v12.mp4,SLEEVE
v13.mp4,POCKET
v14.mp4,COLLAR
v15.mp4,SLEEVE
v16.mp4,COLLAR
v17.mp4,POCKET
v18.mp4,POCKET
v19.mp4,POCKET
v20.mp4,SLEEVE
v21.mp4,COLLAR
v22.mp4,COLLAR
v23.mp4,POCKET
v24.mp4,COLLAR
v25.mp4,COLLAR
v26.mp4,SLEEVE
v27.mp4,POCKET
v28.mp4,COLLAR
v29.mp4,SLEEVE
v30.mp4,POCKET
v31.mp4,POCKET
v32.mp4,SLEEVE
v33.mp4,SLEEVE
v34.mp4,COLLAR
v35.mp4,COLLAR
v36.mp4,SLEEVE
v37.mp4,COLLAR
v38.mp4,SLEEVE
v39.mp4,POCKET
v40.mp4,SLEEVE
v41.mp4,POCKET
v42.mp4,COLLAR
v43.mp4,COLLAR
v44.mp4,COLLAR
v45.mp4,COLLAR
v46.mp4,SLEEVE
v47.mp4,SLEEVE
v48.mp4,SLEEVE
v49.mp4,SLEEVE
v50.mp4,COLLAR
v51.mp4,COLLAR
v52.mp4,COLLAR
v53.mp4,SLEEVE
v54.mp4,SLEEVE
v55.mp4,SLEEVE
v56.mp4,SLEEVE
v57.mp4,SLEEVE
v58.mp4,COLLAR
v59.mp4,SLEEVE
v60.mp4,SLEEVE
