video_name,split,operation_type
v01.mp4,train,COLLAR
v02.mp4,train,SLEEVE
v03.mp4,train,SLEEVE
v04.mp4,train,COLLAR
v05.mp4,train,SLEEVE
v06.mp4,train,POCKET
v07.mp4,train,COLLAR
v08.mp4,train,SLEEVE
v09.mp4,train,SLEEVE
v11.mp4,train,COLLAR
v13.mp4,train,POCKET
v14.mp4,train,COLLAR
v15.mp4,train,SLEEVE
v16.mp4,train,COLLAR
v17.mp4,train,POCKET
v19.mp4,train,POCKET
v21.mp4,train,COLLAR
v23.mp4,train,POCKET
v24.mp4,train,COLLAR
v27.mp4,train,POCKET
v28.mp4,train,COLLAR
v30.mp4,train,POCKET
v32.mp4,train,SLEEVE
v33.mp4,train,SLEEVE
v34.mp4,train,COLLAR
v35.mp4,train,COLLAR
v36.mp4,train,SLEEVE
v38.mp4,train,SLEEVE
v40.mp4,train,SLEEVE
v41.mp4,train,POCKET
v42.mp4,train,COLLAR
v43.mp4,train,COLLAR
v45.mp4,train,COLLAR
v46.mp4,train,SLEEVE
v47.mp4,train,SLEEVE
v48.mp4,train,SLEEVE
v50.mp4,train,COLLAR
v52.mp4,train,COLLAR
v54.mp4,train,SLEEVE
v55.mp4,train,SLEEVE
v57.mp4,train,SLEEVE
v59.mp4,train,SLEEVE
