video_id,selection_number,frame_id,image_path
L-2,1,L-2_0033,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0033.jpg
L-2,2,L-2_0038,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0038.jpg
L-2,3,L-2_0039,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0039.jpg
L-2,4,L-2_0040,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0040.jpg
L-2,5,L-2_0041,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0041.jpg
L-2,6,L-2_0042,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0042.jpg
L-2,7,L-2_0043,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0043.jpg
L-2,8,L-2_0044,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0044.jpg
L-2,9,L-2_0118,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0118.jpg
L-2,10,L-2_0119,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0119.jpg
L-2,11,L-2_0120,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0120.jpg
L-2,12,L-2_0121,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0121.jpg
L-2,13,L-2_0122,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0122.jpg
L-2,14,L-2_0123,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0123.jpg
L-2,15,L-2_0124,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0124.jpg
L-2,16,L-2_0125,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0125.jpg
L-2,17,L-2_0126,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0126.jpg
L-2,18,L-2_0127,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0127.jpg
L-2,19,L-2_0128,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0128.jpg
L-2,20,L-2_0129,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0129.jpg
L-2,21,L-2_0130,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0130.jpg
L-2,22,L-2_0131,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0131.jpg
L-2,23,L-2_0132,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0132.jpg
L-2,24,L-2_0133,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0133.jpg
L-2,25,L-2_0134,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0134.jpg
L-2,26,L-2_0135,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0135.jpg
L-2,27,L-2_0136,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0136.jpg
L-2,28,L-2_0137,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0137.jpg
L-2,29,L-2_0138,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0138.jpg
L-2,30,L-2_0139,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0139.jpg
L-2,31,L-2_0140,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0140.jpg
L-2,32,L-2_0141,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0141.jpg
L-2,33,L-2_0142,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0142.jpg
L-2,34,L-2_0143,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0143.jpg
L-2,35,L-2_0144,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0144.jpg
L-2,36,L-2_0145,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0145.jpg
L-2,37,L-2_0146,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0146.jpg
L-2,38,L-2_0147,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0147.jpg
L-2,39,L-2_0148,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0148.jpg
L-2,40,L-2_0149,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0149.jpg
L-2,41,L-2_0150,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0150.jpg
L-2,42,L-2_0151,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0151.jpg
L-2,43,L-2_0152,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0152.jpg
L-2,44,L-2_0153,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0153.jpg
L-2,45,L-2_0154,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0154.jpg
L-2,46,L-2_0155,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0155.jpg
L-2,47,L-2_0156,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0156.jpg
L-2,48,L-2_0157,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0157.jpg
L-2,49,L-2_0161,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\L-2_0161.jpg
