video_id,selection_number,frame_id,image_path
M-1,1,M-1_0018,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0018.jpg
M-1,2,M-1_0019,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0019.jpg
M-1,3,M-1_0020,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0020.jpg
M-1,4,M-1_0035,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0035.jpg
M-1,5,M-1_0108,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0108.jpg
M-1,6,M-1_0109,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0109.jpg
M-1,7,M-1_0110,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0110.jpg
M-1,8,M-1_0111,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0111.jpg
M-1,9,M-1_0112,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0112.jpg
M-1,10,M-1_0113,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0113.jpg
M-1,11,M-1_0114,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0114.jpg
M-1,12,M-1_0116,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0116.jpg
M-1,13,M-1_0117,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0117.jpg
M-1,14,M-1_0119,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0119.jpg
M-1,15,M-1_0120,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0120.jpg
M-1,16,M-1_0121,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0121.jpg
M-1,17,M-1_0122,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0122.jpg
M-1,18,M-1_0205,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0205.jpg
M-1,19,M-1_0206,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0206.jpg
M-1,20,M-1_0208,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0208.jpg
M-1,21,M-1_0297,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0297.jpg
M-1,22,M-1_0298,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0298.jpg
M-1,23,M-1_0299,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0299.jpg
M-1,24,M-1_0300,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0300.jpg
M-1,25,M-1_0301,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0301.jpg
M-1,26,M-1_0317,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0317.jpg
M-1,27,M-1_0318,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0318.jpg
M-1,28,M-1_0319,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0319.jpg
M-1,29,M-1_0320,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\M-1_0320.jpg
