video_id,selection_number,frame_id,image_path
TS1,1,TS1_0009,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0009.jpg
TS1,2,TS1_0043,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0043.jpg
TS1,3,TS1_0091,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0091.jpg
TS1,4,TS1_0135,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0135.jpg
TS1,5,TS1_0136,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0136.jpg
TS1,6,TS1_0171,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0171.jpg
TS1,7,TS1_0172,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0172.jpg
TS1,8,TS1_0216,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0216.jpg
TS1,9,TS1_0238,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0238.jpg
TS1,10,TS1_0267,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0267.jpg
TS1,11,TS1_0301,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0301.jpg
TS1,12,TS1_0328,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0328.jpg
TS1,13,TS1_0332,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0332.jpg
TS1,14,TS1_0371,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0371.jpg
TS1,15,TS1_0402,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0402.jpg
TS1,16,TS1_0446,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0446.jpg
TS1,17,TS1_0498,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0498.jpg
TS1,18,TS1_0502,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0502.jpg
TS1,19,TS1_0575,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0575.jpg
TS1,20,TS1_0576,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0576.jpg
TS1,21,TS1_0610,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0610.jpg
TS1,22,TS1_0659,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0659.jpg
TS1,23,TS1_0691,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0691.jpg
TS1,24,TS1_0805,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0805.jpg
TS1,25,TS1_0859,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0859.jpg
TS1,26,TS1_0868,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0868.jpg
TS1,27,TS1_0917,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0917.jpg
TS1,28,TS1_0918,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0918.jpg
TS1,29,TS1_0919,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0919.jpg
TS1,30,TS1_0920,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0920.jpg
TS1,31,TS1_0921,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0921.jpg
TS1,32,TS1_0944,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0944.jpg
TS1,33,TS1_0946,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0946.jpg
TS1,34,TS1_0947,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TS1_0947.jpg
