video_id,selection_number,frame_id,image_path
TXL 1,1,TXL 1_0021,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0021.jpg
TXL 1,2,TXL 1_0027,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0027.jpg
TXL 1,3,TXL 1_0031,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0031.jpg
TXL 1,4,TXL 1_0068,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0068.jpg
TXL 1,5,TXL 1_0090,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0090.jpg
TXL 1,6,TXL 1_0127,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0127.jpg
TXL 1,7,TXL 1_0158,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0158.jpg
TXL 1,8,TXL 1_0169,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0169.jpg
TXL 1,9,TXL 1_0222,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0222.jpg
TXL 1,10,TXL 1_0256,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0256.jpg
TXL 1,11,TXL 1_0293,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0293.jpg
TXL 1,12,TXL 1_0301,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0301.jpg
TXL 1,13,TXL 1_0347,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0347.jpg
TXL 1,14,TXL 1_0379,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0379.jpg
TXL 1,15,TXL 1_0420,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0420.jpg
TXL 1,16,TXL 1_0432,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0432.jpg
TXL 1,17,TXL 1_0444,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0444.jpg
TXL 1,18,TXL 1_0511,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0511.jpg
TXL 1,19,TXL 1_0516,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0516.jpg
TXL 1,20,TXL 1_0568,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0568.jpg
TXL 1,21,TXL 1_0594,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0594.jpg
TXL 1,22,TXL 1_0655,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0655.jpg
TXL 1,23,TXL 1_0666,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0666.jpg
TXL 1,24,TXL 1_0713,C:\Users\wgucg\Documents\GitHub\R-26-IT-054\Feature_3\01_video_annotation\dataset_v2_fixed_height\selected_best_frames\TXL 1_0713.jpg
