video_id,event_id,frame_id,state
v01,,v01_001,INVALID
v01,,v01_002,INVALID
v01,,v01_003,INVALID
v01,,v01_004,INVALID
v01,,v01_005,INVALID
v01,,v01_006,INVALID
v01,,v01_007,INVALID
v01,,v01_008,INVALID
v01,,v01_009,INVALID
v01,,v01_010,INVALID
v01,,v01_011,INVALID
v01,,v01_012,INVALID
v01,,v01_013,INVALID
v01,,v01_014,INVALID
v01,,v01_015,INVALID
v01,v01_E001,v01_016,NOT_READY
v01,v01_E001,v01_017,NOT_READY
v01,v01_E001,v01_018,NOT_READY
v01,v01_E001,v01_019,NOT_READY
v01,v01_E001,v01_020,NOT_READY
v01,v01_E001,v01_021,NOT_READY
v01,v01_E001,v01_022,NOT_READY
v01,v01_E001,v01_023,NOT_READY
v01,v01_E001,v01_024,NOT_READY
v01,v01_E001,v01_025,NOT_READY
v01,v01_E001,v01_026,NOT_READY
v01,v01_E001,v01_027,NOT_READY
v01,v01_E001,v01_028,NOT_READY
v01,v01_E001,v01_029,READY
v01,v01_E001,v01_030,READY
v01,v01_E001,v01_031,READY
v01,v01_E001,v01_032,READY
v01,v01_E001,v01_033,READY
v01,v01_E001,v01_034,READY
v01,v01_E001,v01_035,READY
v01,v01_E001,v01_036,READY
v01,v01_E001,v01_037,READY
v01,v01_E001,v01_038,READY
v01,v01_E001,v01_039,READY
v01,v01_E001,v01_040,READY
v01,v01_E001,v01_041,READY
v01,v01_E001,v01_042,READY
v01,v01_E001,v01_043,READY
v01,v01_E001,v01_044,READY
v01,v01_E001,v01_045,READY
v01,v01_E001,v01_046,READY
v01,v01_E001,v01_047,READY
v01,v01_E001,v01_048,READY
v01,v01_E001,v01_049,READY
v01,v01_E001,v01_050,READY
v01,v01_E001,v01_051,READY
v01,v01_E001,v01_052,READY
v01,v01_E001,v01_053,READY
v01,v01_E001,v01_054,READY
v01,v01_E001,v01_055,READY
v01,v01_E001,v01_056,READY
v01,v01_E001,v01_057,READY
v01,v01_E001,v01_058,READY
v01,v01_E001,v01_059,READY
v01,v01_E001,v01_060,READY
v01,v01_E001,v01_061,READY
v01,v01_E001,v01_062,READY
v01,v01_E001,v01_063,READY
v01,v01_E001,v01_064,READY
