epoch,train_loss,train_accuracy,train_macro_f1,val_loss,val_accuracy,val_macro_f1,backbone_lr,head_lr
1,0.43447,0.780974,0.761189,0.567818,0.757398,0.727282,0.0001,0.001
2,0.324094,0.844823,0.827333,0.630484,0.775894,0.755512,0.0001,0.001
3,0.288166,0.861445,0.844975,0.622398,0.744143,0.713487,0.0001,0.001
4,0.262567,0.87408,0.858015,0.530204,0.823674,0.799178,0.0001,0.001
5,0.252337,0.884752,0.869522,0.414672,0.851726,0.823573,0.0001,0.001
6,0.203648,0.904195,0.890833,0.612876,0.83508,0.812461,0.0001,0.001
7,0.162799,0.923638,0.912799,0.438286,0.860666,0.833877,0.0001,0.001
8,0.139299,0.933084,0.923041,0.624858,0.826141,0.792158,0.0001,0.001
9,0.131772,0.936335,0.927111,0.598428,0.827682,0.773108,0.0001,0.001
10,0.114938,0.942529,0.933951,0.561671,0.872072,0.841731,0.0001,0.001
11,0.109002,0.945658,0.937449,0.686582,0.860666,0.8359,0.0001,0.001
12,0.097521,0.951791,0.944392,0.73102,0.871147,0.848308,0.0001,0.001
13,0.090922,0.954428,0.947055,0.792837,0.851726,0.823937,0.0001,0.001
14,0.090398,0.954735,0.947278,0.758513,0.885327,0.86042,0.0001,0.001
15,0.083151,0.957863,0.950762,0.723609,0.874538,0.848126,0.0001,0.001
16,0.08174,0.959642,0.952795,0.951371,0.84402,0.816208,0.0001,0.001
17,0.0761,0.962341,0.956221,0.703997,0.873921,0.850481,0.0001,0.001
18,0.071777,0.964058,0.95826,0.866683,0.845869,0.820689,5e-05,0.0005
19,0.053958,0.97381,0.96915,0.770441,0.874229,0.851227,5e-05,0.0005
20,0.050393,0.974975,0.970535,0.893863,0.861282,0.831501,5e-05,0.0005
21,0.047411,0.977122,0.973125,0.766142,0.885943,0.85572,5e-05,0.0005
22,0.045065,0.978226,0.974136,1.138675,0.848644,0.818953,2.5e-05,0.00025
