epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,48.0545,1.43079,2.84295,2.27376,1.68819,0,0.97668,0.51081,0.79911,0.41407,0.97668,0.51081,0.79616,0.4691,1.26639,3.00173,3.06067,1.84431,0,0.000648148,0.000648148,0.000648148
2,77.8662,1.32062,1.76942,1.66645,1.51019,0,0.2598,0.14132,0.10492,0.0229,0.09207,0.04878,0.00675,0.00201,3.77277,71.2366,4.69604,3.94431,0,0.0013018,0.0013018,0.0013018
3,106.281,1.36106,1.72196,1.47248,1.5183,0,0.4652,0.57283,0.5515,0.20615,0.45422,0.57317,0.55561,0.21244,2.26077,1.33222,5.65329,3.88611,0,0.00194225,0.00194225,0.00194225
4,135.499,1.3373,1.74393,1.36558,1.51722,0,0.55003,0.49197,0.54134,0.19425,0.56053,0.45122,0.50586,0.16337,2.46732,3.05769,3.54272,2.94097,0,0.0019406,0.0019406,0.0019406
5,163.572,1.3408,1.65407,1.28212,1.51618,0,0.38122,0.34146,0.27485,0.12671,0.45663,0.28049,0.24926,0.11609,1.83455,6.57232,4.05866,2.34683,0,0.0019208,0.0019208,0.0019208
6,189.897,1.26099,1.50216,1.11738,1.42722,0,0.92166,0.7439,0.87878,0.51491,0.92166,0.7439,0.87878,0.52656,1.26454,0.61578,1.63025,1.88798,0,0.001901,0.001901,0.001901
7,218.988,1.19594,1.46385,1.01473,1.37987,0,0.80262,0.84303,0.86933,0.51027,0.80262,0.84303,0.86933,0.5736,1.43086,0.94141,1.61567,1.79319,0,0.0018812,0.0018812,0.0018812
8,246.963,1.18432,1.52411,0.95233,1.38873,0,0.83615,0.67073,0.78408,0.51721,0.83615,0.67073,0.78335,0.49936,1.35088,2.03815,1.38708,1.70891,0,0.0018614,0.0018614,0.0018614
9,273.968,1.14887,1.44245,0.89187,1.3363,0,0.96712,0.87805,0.92841,0.69098,0.96712,0.87805,0.92662,0.70154,1.01539,0.51531,0.94587,1.45985,0,0.0018416,0.0018416,0.0018416
10,300.382,1.14325,1.4075,0.89762,1.34001,0,0.94088,0.95122,0.98001,0.66709,0.94088,0.95122,0.97587,0.67092,1.0981,1.20894,0.82335,1.43274,0,0.0018218,0.0018218,0.0018218
11,327.6,1.12175,1.34205,0.83407,1.33312,0,0.87445,0.93432,0.94676,0.6984,0.87445,0.93432,0.94676,0.71119,0.93213,0.40623,0.98323,1.33575,0,0.001802,0.001802,0.001802
12,353.529,1.08136,1.31918,0.81511,1.29902,0,0.91101,0.93902,0.97868,0.67783,0.92654,0.92293,0.97451,0.71116,1.09185,0.51626,0.84394,1.49034,0,0.0017822,0.0017822,0.0017822
13,379.457,1.08239,1.34597,0.77298,1.3119,0,0.96714,0.91463,0.93699,0.68647,0.94939,0.91501,0.94617,0.71317,0.98413,0.48382,0.8538,1.41766,0,0.0017624,0.0017624,0.0017624
14,405.231,1.07776,1.37908,0.75605,1.30438,0,0.89725,0.95845,0.97676,0.70534,0.89725,0.95845,0.97395,0.71585,0.96218,0.57025,0.70474,1.34484,0,0.0017426,0.0017426,0.0017426
15,431.823,1.05638,1.27164,0.74478,1.27965,0,0.93437,0.92683,0.9557,0.72064,0.93437,0.92683,0.9557,0.70836,0.89832,0.43049,0.72159,1.37135,0,0.0017228,0.0017228,0.0017228
16,458.383,1.02269,1.24158,0.71392,1.27236,0,0.94478,0.92683,0.97581,0.76669,0.94478,0.92683,0.96805,0.76784,0.85127,0.63916,0.63567,1.27918,0,0.001703,0.001703,0.001703
17,485.466,1.0027,1.25401,0.68268,1.26377,0,0.8935,0.97561,0.93933,0.74351,0.8935,0.97561,0.93933,0.72644,0.78024,1.10291,0.70331,1.24105,0,0.0016832,0.0016832,0.0016832
18,512.219,0.97059,1.22363,0.68613,1.22021,0,0.99913,0.9878,0.99488,0.76078,0.99913,0.9878,0.99488,0.76406,0.85061,0.48625,0.57702,1.24156,0,0.0016634,0.0016634,0.0016634
19,538.558,0.97145,1.22873,0.66155,1.23534,0,0.94121,0.96341,0.97184,0.76424,0.94121,0.96341,0.97631,0.76823,0.84274,0.43689,0.67371,1.24859,0,0.0016436,0.0016436,0.0016436
20,565.708,0.99778,1.27266,0.6669,1.26932,0,0.97586,0.98619,0.99071,0.77617,0.97586,0.98619,0.99071,0.75941,0.82087,0.54282,0.58575,1.24396,0,0.0016238,0.0016238,0.0016238
21,592.178,0.93304,1.24511,0.63599,1.21813,0,0.97354,0.89755,0.95205,0.77742,0.97354,0.89755,0.95205,0.75521,0.77899,0.55174,0.85051,1.25832,0,0.001604,0.001604,0.001604
22,619.214,0.93029,1.148,0.62486,1.20133,0,0.9508,0.87805,0.9517,0.75972,0.9508,0.87805,0.95373,0.76528,0.78741,0.43434,0.57711,1.21557,0,0.0015842,0.0015842,0.0015842
23,645.684,0.90179,1.18078,0.60374,1.1979,0,0.91954,0.9878,0.97621,0.77815,0.91954,0.9878,0.97621,0.79059,0.77944,0.57836,0.57126,1.2175,0,0.0015644,0.0015644,0.0015644
24,675.636,0.89403,1.07003,0.58231,1.18374,0,0.94943,0.96341,0.9894,0.78183,0.94943,0.96341,0.9894,0.80113,0.7807,0.48468,0.5065,1.21137,0,0.0015446,0.0015446,0.0015446
25,705.448,0.89891,1.10487,0.59347,1.19934,0,0.98786,0.9922,0.99488,0.81466,0.98786,0.9922,0.99488,0.82179,0.74701,0.42618,0.4776,1.19979,0,0.0015248,0.0015248,0.0015248
26,731.7,0.86845,1.11733,0.58449,1.1871,0,0.9983,0.97561,0.99266,0.83573,0.9983,0.97561,0.99266,0.82709,0.66091,0.40827,0.43129,1.12926,0,0.001505,0.001505,0.001505
27,758.795,0.85358,1.06029,0.56819,1.17767,0,0.96303,1,0.99294,0.82079,0.96303,1,0.99294,0.8133,0.69285,0.35669,0.43794,1.15038,0,0.0014852,0.0014852,0.0014852
28,783.547,0.89338,1.08757,0.582,1.1974,0,0.97556,0.97354,0.987,0.81153,0.97556,0.97354,0.987,0.81458,0.69838,0.45494,0.46329,1.14564,0,0.0014654,0.0014654,0.0014654
29,808.533,0.86364,1.1175,0.57327,1.18134,0,1,0.91368,0.95398,0.76481,1,0.91368,0.95398,0.7496,0.76527,0.5061,0.60944,1.21724,0,0.0014456,0.0014456,0.0014456
30,835.143,0.8569,1.08862,0.55653,1.16616,0,0.92911,0.95902,0.97599,0.79652,0.92911,0.95902,0.97599,0.79052,0.71082,0.3583,0.56829,1.17596,0,0.0014258,0.0014258,0.0014258
31,858.152,0.85667,1.0437,0.53665,1.16992,0,0.99511,0.92683,0.98233,0.76307,0.99511,0.92683,0.98167,0.77356,0.84834,0.4378,0.5081,1.26806,0,0.001406,0.001406,0.001406
32,916.531,0.83562,1.08393,0.54421,1.15968,0,0.98749,0.96251,0.96767,0.81426,0.98749,0.96251,0.96788,0.79984,0.67354,0.67513,0.49839,1.14359,0,0.0013862,0.0013862,0.0013862
33,958.303,0.88028,1.13801,0.56082,1.18011,0,0.92912,0.97561,0.98592,0.78293,0.92912,0.97561,0.98592,0.79549,0.7519,0.58645,0.51773,1.19607,0,0.0013664,0.0013664,0.0013664
34,987.101,0.81927,1.06956,0.55951,1.15639,0,0.94767,1,0.98676,0.81392,0.94767,1,0.98676,0.82788,0.72323,0.5395,0.44505,1.14775,0,0.0013466,0.0013466,0.0013466
35,1013.88,0.79279,1.0404,0.52059,1.14473,0,0.98779,0.98673,0.98488,0.7668,1,0.99893,0.995,0.79124,0.86221,0.53446,0.46024,1.26855,0,0.0013268,0.0013268,0.0013268
36,1042.05,0.83799,1.07133,0.53713,1.16764,0,0.95467,0.9878,0.99156,0.79664,0.95467,0.9878,0.99156,0.79534,0.74288,0.45271,0.47848,1.16619,0,0.001307,0.001307,0.001307
37,1069.11,0.84005,1.03798,0.53755,1.16549,0,0.97414,0.9878,0.99216,0.83743,0.97414,0.9878,0.99216,0.82575,0.63492,0.48619,0.41254,1.10681,0,0.0012872,0.0012872,0.0012872
38,1095.27,0.8102,1.01958,0.52999,1.14592,0,0.98666,0.9878,0.99453,0.82899,0.98666,0.9878,0.99453,0.81306,0.62324,0.41395,0.46405,1.11287,0,0.0012674,0.0012674,0.0012674
39,1122.83,0.8054,1.04645,0.52306,1.14018,0,0.97308,0.96341,0.98476,0.82823,0.97308,0.96341,0.98476,0.80341,0.63608,0.37198,0.43711,1.1239,0,0.0012476,0.0012476,0.0012476
40,1152.45,0.77595,0.99843,0.50472,1.1344,0,0.97191,1,0.99366,0.82188,0.97191,1,0.99366,0.8211,0.70343,0.39341,0.42892,1.15601,0,0.0012278,0.0012278,0.0012278
41,1179.91,0.76696,1.01511,0.4987,1.10849,0,0.98794,0.99916,0.99464,0.84143,0.98794,0.99916,0.99464,0.82334,0.67606,0.57692,0.4153,1.14035,0,0.001208,0.001208,0.001208
42,1207.36,0.7411,0.89761,0.46753,1.10475,0,0.97446,1,0.9944,0.84311,0.97446,1,0.9944,0.83282,0.60422,0.41917,0.39238,1.12032,0,0.0011882,0.0011882,0.0011882
43,1236.79,0.76076,0.99604,0.50089,1.11559,0,0.99786,1,0.995,0.82376,0.99786,1,0.995,0.83169,0.6736,0.49535,0.41362,1.16298,0,0.0011684,0.0011684,0.0011684
44,1265.43,0.78481,0.96999,0.49632,1.13426,0,0.98601,1,0.99488,0.82872,0.98601,1,0.99488,0.82211,0.65967,0.37232,0.3951,1.15169,0,0.0011486,0.0011486,0.0011486
45,1293.79,0.75352,0.97748,0.48226,1.12619,0,0.98513,0.97561,0.99207,0.83105,0.97612,1,0.99403,0.82305,0.66107,0.37908,0.40326,1.14781,0,0.0011288,0.0011288,0.0011288
46,1320.45,0.73269,0.97018,0.48746,1.11556,0,0.98746,0.96024,0.99118,0.84144,0.98746,0.96024,0.9857,0.81885,0.63031,0.4717,0.38656,1.13239,0,0.001109,0.001109,0.001109
47,1348.61,0.72346,0.95507,0.46607,1.10018,0,0.99425,0.96341,0.99245,0.86037,0.99425,0.96341,0.99245,0.84959,0.61737,0.4585,0.39778,1.11202,0,0.0010892,0.0010892,0.0010892
48,1375.91,0.73647,0.99818,0.46409,1.09758,0,0.9628,0.97561,0.9904,0.85067,0.9628,0.97561,0.9904,0.85333,0.59608,0.39054,0.38141,1.10324,0,0.0010694,0.0010694,0.0010694
