epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4597,1.40248,3.81441,2.75779,1.7411,0,0.00324,0.97297,0.65628,0.35158,0.00252,0.75676,0.48159,0.26054,1.14661,6.6491,3.35951,1.61129,0,0.000625,0.000625,0.000625
2,35.7087,1.27996,1.72346,1.90998,1.5085,0,0.00445,0.83784,0.31765,0.15057,0.00359,0.67568,0.29754,0.12298,1.78947,22.917,3.855,2.48394,0,0.00127888,0.00127888,0.00127888
3,50.9614,1.31644,1.70423,1.69572,1.46966,0,0.57561,0.16216,0.16534,0.09594,0.58124,0.16216,0.14761,0.05876,1.73044,40.0098,3.75083,2.28584,0,0.00191956,0.00191956,0.00191956
4,65.9681,1.33917,1.76544,1.60904,1.48187,0,0.01972,0.2973,0.01371,0.00739,0.02151,0.32432,0.01478,0.00697,1.89845,18.2511,10.5894,2.46723,0,0.0019406,0.0019406,0.0019406
5,79.2126,1.19342,1.60238,1.37024,1.38362,0,0.49514,0.56757,0.4827,0.24289,0.46551,0.54054,0.46364,0.2414,2.09655,3.35058,6.11314,2.47102,0,0.0019208,0.0019208,0.0019208
6,93.047,1.23142,1.57787,1.2782,1.41207,0,0.60808,0.62914,0.64938,0.37372,0.60808,0.62914,0.64483,0.36892,1.25328,3.25592,4.08585,1.6409,0,0.001901,0.001901,0.001901
7,106.767,1.1487,1.55738,1.242,1.34447,0,0.70473,0.59459,0.7132,0.4046,0.6944,0.59459,0.7189,0.40397,1.29649,2.19575,3.59793,1.6987,0,0.0018812,0.0018812,0.0018812
8,120.261,1.15815,1.5666,1.18016,1.35844,0,0.90797,0.45946,0.60195,0.34019,0.90797,0.45946,0.59252,0.39035,1.5705,3.86278,2.44511,1.91789,0,0.0018614,0.0018614,0.0018614
9,132.541,1.17594,1.45246,1.10313,1.36066,0,0.90735,0.75676,0.86321,0.44945,0.8381,0.7027,0.71697,0.32486,1.38239,6.07316,2.4446,1.78339,0,0.0018416,0.0018416,0.0018416
10,145.818,1.18114,1.5969,1.10227,1.35484,0,0.69667,0.78378,0.82012,0.48482,0.79829,0.64196,0.83123,0.54626,1.09639,2.07249,2.56758,1.49167,0,0.0018218,0.0018218,0.0018218
11,159.401,1.14668,1.57646,1.07563,1.34506,0,0.92123,0.94827,0.97806,0.7112,0.94748,0.97529,0.98965,0.72092,0.86576,0.95759,1.33461,1.33483,0,0.001802,0.001802,0.001802
12,173.05,1.08514,1.46611,0.99746,1.31719,0,0.86606,0.86486,0.95437,0.67978,0.89412,0.89189,0.9631,0.68398,0.89009,1.52554,1.33443,1.41682,0,0.0017822,0.0017822,0.0017822
13,185.981,1.08046,1.405,0.90614,1.28658,0,0.94474,0.97297,0.98578,0.69178,0.94474,0.97297,0.98578,0.72322,0.91248,0.88107,1.49479,1.36937,0,0.0017624,0.0017624,0.0017624
14,198.596,1.09488,1.34331,0.9171,1.29793,0,0.95091,0.86486,0.97254,0.65447,0.89987,0.86486,0.95391,0.68302,1.08966,1.10241,1.21211,1.45355,0,0.0017426,0.0017426,0.0017426
15,211.712,1.02378,1.39454,0.88527,1.26784,0,0.88668,0.81081,0.9573,0.73269,0.88668,0.81081,0.89331,0.67072,0.85572,1.25811,0.97957,1.34347,0,0.0017228,0.0017228,0.0017228
16,223.744,1.07079,1.39564,0.88678,1.30631,0,0.98813,0.94595,0.99269,0.7493,0.98813,0.94595,0.99269,0.75137,0.79329,0.79987,0.87195,1.28118,0,0.001703,0.001703,0.001703
17,237.328,1.01023,1.41042,0.79662,1.24684,0,0.94859,0.99743,0.98086,0.59829,0.94859,0.99743,0.98252,0.64561,1.22804,0.8623,1.00674,1.58781,0,0.0016832,0.0016832,0.0016832
18,250.515,1.04298,1.40915,0.84488,1.29192,0,0.89556,0.97297,0.98335,0.70605,0.89556,0.97297,0.98335,0.70655,1.14291,0.84291,0.96531,1.54982,0,0.0016634,0.0016634,0.0016634
19,262.693,1.106,1.28111,0.83934,1.30925,0,0.89919,0.91892,0.89482,0.71351,0.89919,0.91892,0.8916,0.70801,0.76471,0.98918,0.95455,1.26374,0,0.0016436,0.0016436,0.0016436
20,275.212,1.0337,1.35725,0.80233,1.26993,0,0.96797,0.91892,0.96036,0.72974,0.96797,0.91892,0.94122,0.71561,0.74725,1.13465,0.75298,1.21311,0,0.0016238,0.0016238,0.0016238
21,287.776,0.96877,1.36297,0.74611,1.21853,0,0.99484,0.97297,0.98279,0.72396,0.99484,0.97297,0.98279,0.75672,0.80193,0.74358,0.70264,1.28038,0,0.001604,0.001604,0.001604
22,307.322,1.03899,1.22549,0.75333,1.24076,0,0.97172,0.92894,0.97032,0.7548,0.94345,0.90191,0.95497,0.72363,0.73932,0.99057,0.73029,1.28699,0,0.0015842,0.0015842,0.0015842
23,323.496,0.93114,1.18373,0.69357,1.20489,0,0.92072,0.81081,0.86401,0.59131,0.85737,0.83784,0.85217,0.61756,1.04184,1.2599,1.06679,1.46896,0,0.0015644,0.0015644,0.0015644
24,335.37,0.98918,1.29889,0.76142,1.22549,0,0.99866,0.86486,0.96361,0.71653,0.99866,0.86486,0.93215,0.70471,0.74654,1.08211,0.86382,1.23436,0,0.0015446,0.0015446,0.0015446
25,355.444,0.99199,1.34176,0.75185,1.24093,0,1,0.91354,0.94139,0.64109,1,0.91354,0.93734,0.72824,1.14924,1.05948,0.99556,1.48234,0,0.0015248,0.0015248,0.0015248
26,383.031,0.93123,1.21845,0.70651,1.2161,0,0.9689,0.91892,0.97089,0.79602,0.9689,0.91892,0.97089,0.79724,0.68187,0.51532,0.63261,1.15071,0,0.001505,0.001505,0.001505
27,416.887,0.90994,1.22114,0.6464,1.18259,0,0.99965,0.89189,0.95609,0.76437,0.99965,0.89189,0.95629,0.75559,0.71006,0.60658,0.62049,1.17637,0,0.0014852,0.0014852,0.0014852
28,447.901,0.89533,1.19793,0.65069,1.18207,0,0.97283,0.96798,0.9914,0.69829,0.97283,0.96798,0.9914,0.73867,0.9266,0.50106,0.76468,1.33534,0,0.0014654,0.0014654,0.0014654
29,476.184,0.93488,1.15055,0.65416,1.17312,0,0.99561,0.94595,0.99074,0.80698,0.99561,0.94595,0.99074,0.76099,0.6703,0.90058,0.54558,1.21235,0,0.0014456,0.0014456,0.0014456
30,505.151,0.83791,1.09588,0.61387,1.14746,0,0.99686,0.94595,0.98884,0.81757,0.99686,0.94595,0.98276,0.79017,0.68962,0.77519,0.52745,1.15462,0,0.0014258,0.0014258,0.0014258
31,536.965,0.8974,1.18144,0.6437,1.17367,0,0.98596,0.91892,0.9767,0.80473,0.98596,0.91892,0.97428,0.77386,0.69369,0.72142,0.58564,1.17286,0,0.001406,0.001406,0.001406
32,565.783,0.87628,1.14907,0.62228,1.15716,0,0.97121,0.97297,0.99101,0.79232,0.97121,0.97297,0.99101,0.78385,0.71516,0.7371,0.52433,1.17197,0,0.0013862,0.0013862,0.0013862
33,591.849,0.89579,1.20488,0.66162,1.17321,0,0.9639,1,0.99158,0.79501,0.9639,1,0.99158,0.80377,0.71301,0.5575,0.51806,1.28557,0,0.0013664,0.0013664,0.0013664
34,605.963,0.90891,1.17474,0.63789,1.21207,0,0.90838,1,0.98359,0.78563,0.90838,1,0.98359,0.77861,0.63149,0.58548,0.50261,1.15899,0,0.0013466,0.0013466,0.0013466
