epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1819,0.89725,2.37649,1.4939,0.5289,0.5728,0.58116,0.40397,0.78462,2.72713,1.56706,0.000411877,0.000411877,0.000411877
2,68.7588,0.87652,1.5979,1.43743,0.61525,0.77767,0.84487,0.61247,0.87922,2.64168,1.6494,0.000812139,0.000812139,0.000812139
3,100.61,0.877,1.42631,1.43935,0.76372,0.54195,0.66602,0.46122,0.92168,2.20621,1.73956,0.0011959,0.0011959,0.0011959
4,131.816,0.87322,1.32168,1.43216,0.72565,0.69984,0.80031,0.56056,1.02099,1.65068,1.86178,0.00117575,0.00117575,0.00117575
5,163.368,0.82469,1.15015,1.38006,0.75713,0.78778,0.82228,0.62053,0.79585,1.46404,1.55194,0.001151,0.001151,0.001151
6,195.096,0.82936,1.09754,1.37464,0.60924,0.72876,0.80138,0.6103,0.81816,1.39736,1.6187,0.00112625,0.00112625,0.00112625
7,226.351,0.79884,1.01941,1.35481,0.72766,0.8564,0.87091,0.69158,0.7619,0.97313,1.46809,0.0011015,0.0011015,0.0011015
8,257.681,0.77219,0.96598,1.32331,0.84867,0.89026,0.93678,0.76216,0.66615,0.81908,1.37357,0.00107675,0.00107675,0.00107675
9,290.096,0.75656,0.89466,1.31731,0.70561,0.8313,0.85569,0.66838,0.81173,1.25235,1.52719,0.001052,0.001052,0.001052
10,321.402,0.73714,0.88837,1.30099,0.81055,0.79183,0.88053,0.67015,0.83634,0.99661,1.53227,0.00102725,0.00102725,0.00102725
11,352.386,0.74028,0.85022,1.3081,0.84624,0.91351,0.94907,0.81645,0.59115,0.66431,1.2661,0.0010025,0.0010025,0.0010025
12,384.195,0.70831,0.81162,1.27437,0.77317,0.87621,0.94429,0.76939,0.67497,0.74703,1.3346,0.00097775,0.00097775,0.00097775
13,415.096,0.69552,0.78495,1.2766,0.72458,0.86075,0.89412,0.77195,0.55103,0.94401,1.22856,0.000953,0.000953,0.000953
14,447.625,0.71364,0.80082,1.27697,0.81296,0.89927,0.9389,0.74658,0.7278,0.77124,1.43131,0.00092825,0.00092825,0.00092825
15,478.971,0.6926,0.75471,1.27261,0.85915,0.88937,0.94216,0.8044,0.614,0.69515,1.29293,0.0009035,0.0009035,0.0009035
16,511.909,0.65319,0.74061,1.2384,0.83243,0.83664,0.92754,0.78696,0.5904,0.82188,1.2672,0.00087875,0.00087875,0.00087875
17,544.328,0.64933,0.73262,1.22973,0.9203,0.87724,0.9551,0.82535,0.59062,0.59265,1.2683,0.000854,0.000854,0.000854
18,576.695,0.65011,0.68456,1.22847,0.83215,0.88955,0.93503,0.80445,0.54322,0.77595,1.21406,0.00082925,0.00082925,0.00082925
19,608.212,0.64512,0.69442,1.2277,0.92572,0.88452,0.95536,0.83705,0.52278,0.56669,1.18563,0.0008045,0.0008045,0.0008045
20,643.162,0.63611,0.66421,1.22213,0.91335,0.9243,0.96347,0.81835,0.56548,0.57791,1.23715,0.00077975,0.00077975,0.00077975
21,677.59,0.62783,0.66268,1.21943,0.90369,0.87619,0.9575,0.83739,0.52057,0.54326,1.17617,0.000755,0.000755,0.000755
