epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.6207,0.81783,2.26003,1.41984,0.74198,0.44542,0.61746,0.46308,0.83849,2.80165,1.6188,0.000411877,0.000411877,0.000411877
2,75.824,0.77475,1.53024,1.35313,0.65178,0.6378,0.70612,0.49354,0.93289,2.41027,1.76436,0.000812139,0.000812139,0.000812139
3,92.9877,0.79042,1.32949,1.35455,0.58669,0.6267,0.64566,0.49286,0.84457,2.18165,1.59272,0.0011959,0.0011959,0.0011959
4,110.141,0.76322,1.18162,1.33482,0.7766,0.59815,0.75816,0.57216,0.78099,1.57196,1.51771,0.00117575,0.00117575,0.00117575
5,127.768,0.71217,1.04561,1.28416,0.75058,0.78695,0.87557,0.67533,0.81555,1.11697,1.58343,0.001151,0.001151,0.001151
6,145.206,0.698,0.95022,1.28114,0.7439,0.75997,0.82767,0.56172,0.90398,1.27872,1.656,0.00112625,0.00112625,0.00112625
7,162.649,0.68675,0.93476,1.27474,0.75728,0.82206,0.82951,0.57486,0.93905,1.26448,1.71796,0.0011015,0.0011015,0.0011015
8,179.979,0.66304,0.87708,1.25663,0.83028,0.89884,0.94141,0.78736,0.70556,0.78011,1.43801,0.00107675,0.00107675,0.00107675
9,196.89,0.64704,0.81269,1.24213,0.89999,0.83485,0.93779,0.81035,0.58356,0.73064,1.24393,0.001052,0.001052,0.001052
10,213.93,0.64486,0.80034,1.23685,0.91697,0.89425,0.94732,0.79367,0.60962,0.66235,1.29842,0.00102725,0.00102725,0.00102725
11,231.012,0.62119,0.73641,1.20903,0.77414,0.78126,0.89201,0.75798,0.60114,0.95201,1.29902,0.0010025,0.0010025,0.0010025
12,247.928,0.59651,0.74049,1.20694,0.89544,0.93354,0.95208,0.81186,0.53483,0.58953,1.20983,0.00097775,0.00097775,0.00097775
13,264.787,0.60163,0.71587,1.19516,0.7495,0.91862,0.93144,0.78665,0.59787,0.90258,1.25101,0.000953,0.000953,0.000953
